Species strain,Species,Strain,Clade,Source,Assembly Accession,Keep,Notes
Eremothecium cymbalariae DBVPG#7215 (GCA_000235365),Eremothecium cymbalariae DBVPG#7215,DBVPG#7215,,Ensembl-Genbank,,,
Ashbya gossypii,Eremothecium gossypii,FDAG1,,Ensembl-Genbank,,,
Eremothecium gossypii FDAG1 (GCA_000968835),Eremothecium gossypii FDAG1,FDAG1,,Ensembl-Genbank,,,
Erysiphe necator (GCA_000798715),Erysiphe necator c,c,,Ensembl-Genbank,,,
Erysiphe necator c,Erysiphe necator c,c,,JGI,,,
Erysiphe pulchra (GCA_002918395),Erysiphe pulchra,Cflorida,,Ensembl-Genbank,,,
Erythrobasidium hasegawianum ATCC 9536 v1.0,Erythrobasidium hasegawianum ATCC 9536,ATCC 9536,,JGI,,,
Escovopsis weberi (GCA_001278495),Escovopsis weberi,CC031208-10 A ceph,,Ensembl-Genbank,,,
Eutypa lata UCREL1,Eutypa lata UCREL1,UCREL1,,JGI,,,
Eutypa lata UCREL1 (GCA_000349385),Eutypa lata UCREL1,UCREL1,,Ensembl-Genbank,,,
Exidia glandulosa v1.0,Exidia glandulosa,HHB12029,,JGI,,,
Exidia glandulosa HHB12029 (GCA_001632375),Exidia glandulosa HHB12029,HHB12029,,Ensembl-Genbank,,,
Exobasidium maculosum A7-4 v1.0,Exobasidium maculosum A7-4,A7-4,,JGI,,,
Exobasidium vaccinii MPITM v1.0,Exobasidium vaccinii MPITM,MPITM,,JGI,,,
Exophiala aquamarina CBS 119918,Exophiala aquamarina CBS 119918,CBS 119918,,JGI,,,
Exophiala aquamarina CBS 119918 (GCA_000709125),Exophiala aquamarina CBS 119918,CBS 119918,,Ensembl-Genbank,,,
Exophiala dermatitidis NIH/UT8656 (GCA_000230625),Exophiala dermatitidis NIH/UT8656,NIH/UT8656,,Ensembl-Genbank,,,
Exophiala dermatitidis UT8656,Exophiala dermatitidis UT8656,UT8656,,JGI,,,
Exophiala mesophila CBS40295,Exophiala mesophila CBS40295,CBS 40295,,JGI,,,
Exophiala mesophila str. CBS 40295 (GCA_000836275),Exophiala mesophila str. CBS 40295,CBS 40295,,Ensembl-Genbank,,,
Exophiala oligosperma CBS72588,Exophiala oligosperma CBS72588,CBS 72588,,JGI,,,
Exophiala oligosperma str. CBS 72588 (GCA_000835515),Exophiala oligosperma str. CBS 72588,CBS 72588,,Ensembl-Genbank,,,
Exophiala oligosperma strain CBS 72588,Exophiala oligosperma strain CBS 72588,CBS 72588,Ascomycota,FungiDB,,,
Exophiala sideris CBS121828,Exophiala sideris CBS121828,CBS 121828,,JGI,,,
Exophiala sideris str. CBS 121828 (GCA_000835395),Exophiala sideris str. CBS 121828,CBS 121828,,Ensembl-Genbank,,,
Exophiala spinifera CBS89968,Exophiala spinifera CBS89968,CBS 89968,,JGI,,,
Exophiala spinifera str. CBS 89968 (GCA_000836115),Exophiala spinifera str. CBS 89968,CBS 89968,,Ensembl-Genbank,,,
Exophiala xenobiotica CBS118157,Exophiala xenobiotica CBS118157,CBS 118157,,JGI,,,
Exophiala xenobiotica str. CBS 118157 (GCA_000835505),Exophiala xenobiotica str. CBS 118157,CBS 118157,,Ensembl-Genbank,,,
Exserohilum turcica Et28A (GCA_000359705),Exserohilum turcica Et28A,Et28A,,Ensembl-Genbank,,,
Fellomyces penicillatus Phaff54-35 v1.0,Fellomyces penicillatus Phaff54-35,Phaff54-35,,JGI,,,
Fenestella fenestrata ATCC 66461 v1.0,Fenestella fenestrata ATCC 66461,ATCC 66461,,JGI,,,
Fennellomyces sp. T-0311 v1.0,Fennellomyces sp. T-0311,T-0311,,JGI,,,
Fibroporia radiculosa str. TFFH 294 (GCA_000313525),Fibroporia radiculosa str. TFFH 294,TFFH 294,,Ensembl-Genbank,,,
Fibroporia radiculosa TFFH 294,Fibroporia radiculosa TFFH 294,TFFH 294,,JGI,,,
Fibularhizoctonia sp. CBS 109695 (GCA_001630335),Fibularhizoctonia sp. CBS 109695,CBS 109695,,Ensembl-Genbank,,,
Fibulobasidium inconspicuum Phaff89-39 v1.0,Fibulobasidium inconspicuum Phaff89-39,Phaff89-39,,JGI,,,
Fibulorhizoctonia sp. CBS 109695 v1.0,Fibulorhizoctonia sp. CBS 109695,CBS 109695,,JGI,,,
Fimicolochytrium jonesii JEL569 v1.0,Fimicolochytrium jonesii JEL569,JEL569,,JGI,,,
Fistulina hepatica v1.0,Fistulina hepatica,ATCC 64428,Basidiomycota,JGI,,,
Fistulina hepatica ATCC 64428 (GCA_000934395),Fistulina hepatica ATCC 64428,ATCC 64428,,Ensembl-Genbank,,,
Flagelloscypha sp. PMI_526 v1.0,Flagelloscypha sp. PMI_526,PMI_526,,JGI,,,
Flavodon flavus 38 v1.0,Flavodon flavus 38,38,,JGI,,,
Fomitiporia mediterranea v1.0,Fomitiporia mediterranea,MF3/22,,JGI,,,
Fomitiporia mediterranea MF3/22 (GCA_000271605),Fomitiporia mediterranea MF3/22,MF3/22,,Ensembl-Genbank,,,
Fomitopsis pinicola FP-58527 SS1 (GCA_000344655),Fomitopsis pinicola FP-58527 SS1,FP-58527 SS1,,Ensembl-Genbank,,,
Fomitopsis pinicola FP-58527 SS1 v3.0,Fomitopsis pinicola FP-58527 SS1,FP-58527 SS1,,JGI,,,
Fomitopsis rosea Sig1Fomros20-ss v1.0,Fomitopsis rosea Sig1Fomros20-ss,Sig1Fomros20-ss,,JGI,,,
Fonsecaea erecta (GCA_001651985),Fonsecaea erecta,CBS 125763,Ascomycota,Ensembl-Genbank,,,
Fonsecaea monophora (GCA_001642475),Fonsecaea monophora,CBS 269.37,Ascomycota,Ensembl-Genbank,,,
Fonsecaea monophora CBS 269.37,Fonsecaea monophora CBS 269.37,CBS 269.37,Ascomycota,JGI,,,
Fonsecaea multimorphosa (GCA_001646985),Fonsecaea multimorphosa,CBS 102226,Ascomycota,Ensembl-Genbank,,,
Fonsecaea multimorphosa CBS 102226,Fonsecaea multimorphosa CBS 102226,CBS 102226,Ascomycota,JGI,,,
Fonsecaea multimorphosa CBS 102226 (GCA_000836435),Fonsecaea multimorphosa CBS 102226,CBS 102226,Ascomycota,Ensembl-Genbank,,,
Fonsecaea nubica (GCA_001646965),Fonsecaea nubica,CBS 269.64,Ascomycota,Ensembl-Genbank,,,
Fonsecaea nubica CBS 269.64,Fonsecaea nubica CBS 269.64,CBS 269.64,Ascomycota,JGI,,,
Fonsecaea pedrosoi CBS 271.37,Fonsecaea pedrosoi CBS 271.37,CBS 271.37,Ascomycota,FungiDB,,,
Fonsecaea pedrosoi CBS 271.37,Fonsecaea pedrosoi CBS 271.37,CBS 271.37,Ascomycota,JGI,,,
Fonsecaea pedrosoi CBS 271.37 (GCA_000835455),Fonsecaea pedrosoi CBS 271.37,CBS 271.37,Ascomycota,Ensembl-Genbank,,,
Fusarium commune MPI-SDFR-AT-0072 v1.0,Fusarium commune MPI-SDFR-AT-0072,MPI-SDFR-AT-0072,Ascomycota,JGI,,,
Fusarium culmorum UK99,Fusarium culmorum UK99,UK99,Ascomycota,Ensembl-Genbank,,,
Fusarium equiseti MPI-CAGE-AA-0113 v1.0,Fusarium equiseti MPI-CAGE-AA-0113,MPI-CAGE-AA-0113,Ascomycota,JGI,,,
Fusarium fujikuroi,Fusarium fujikuroi,B14,Ascomycota,Ensembl-Genbank,,,
Fusarium fujikuroi (GCA_001023035),Fusarium fujikuroi,KSU X-10626,Ascomycota,Ensembl-Genbank,,,
Fusarium fujikuroi (GCA_001023045),Fusarium fujikuroi,FGSC 8932,Ascomycota,Ensembl-Genbank,,,
Fusarium fujikuroi (GCA_001023065),Fusarium fujikuroi,KSU 3368,Ascomycota,Ensembl-Genbank,,,
Fusarium fujikuroi (GCA_900096505),Fusarium fujikuroi,B14,Ascomycota,Ensembl-Genbank,,,
Fusarium fujikuroi (GCA_900096685),Fusarium fujikuroi,FSU48,Ascomycota,Ensembl-Genbank,,,
Fusarium fujikuroi (GCA_900096705),Fusarium fujikuroi,E282,Ascomycota,Ensembl-Genbank,,,
Fusarium fujikuroi IMI 58289,Fusarium fujikuroi IMI 58289,IMI 58289,Ascomycota,FungiDB,,,
Fusarium fujikuroi IMI 58289,Fusarium fujikuroi IMI 58289,IMI 58289,Ascomycota,JGI,,,
Fusarium graminearum v1.0,Fusarium graminearum,PH-1,Ascomycota,JGI,,,
Fusarium graminearum PH-1,Fusarium graminearum PH-1,PH-1,Ascomycota,FungiDB,,,
Fusarium graminearum PH-1 (GCA_000240135),Fusarium graminearum PH-1,PH-1,Ascomycota,Ensembl-Genbank,,,
Fusarium graminearum str. CS3005 (GCA_000599445),Fusarium graminearum str. CS3005,CS3005,Ascomycota,Ensembl-Genbank,,,
Fusarium graminearum str. PH-1,Fusarium graminearum str. PH-1,PH-1,Ascomycota,Ensembl-Genbank,,,
Fusarium langsethiae str. Fl201059 (GCA_001292635),Fusarium langsethiae str. Fl201059,Fl201059,Ascomycota,Ensembl-Genbank,,,
Fusarium mangiferae (GCA_900044065),Fusarium mangiferae,MRC7560,Ascomycota,Ensembl-Genbank,,,
Fusarium nygamai (GCA_002894225),Fusarium nygamai,CS10214,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum,Fusarium oxysporum,Fo5176,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum (GCA_900096695),Fusarium oxysporum,V64-1,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. conglutinans race 2 54008 str. 54008 (PHW808) (GCA_000260215),Fusarium oxysporum f. sp. conglutinans race 2 54008 str. 54008 (PHW808),54008,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. cubense race 1,Fusarium oxysporum f. sp. cubense race 1,race 1,Ascomycota,FungiDB,,,
Fusarium oxysporum f. sp. cubense race 1 (GCA_000350345),Fusarium oxysporum f. sp. cubense race 1,race 1,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. cubense race 4,Fusarium oxysporum f. sp. cubense race 4,race 4,Ascomycota,FungiDB,,,
Fusarium oxysporum f. sp. cubense race 4 (GCA_000350365),Fusarium oxysporum f. sp. cubense race 4,race 4,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. cubense tropical race 4 54006,Fusarium oxysporum f. sp. cubense tropical race 4 54006,race 4 54006,Ascomycota,FungiDB,,,
Fusarium oxysporum f. sp. cubense tropical race 4 54006 str. 54006 (II5) (GCA_000260195),Fusarium oxysporum f. sp. cubense tropical race 4 54006 str. 54006 (II5),race 4 54006,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. lycopersici 4287,Fusarium oxysporum f. sp. lycopersici 4287,4287,Ascomycota,FungiDB,,,
Fusarium oxysporum f. sp. lycopersici 4287 (GCA_000149955),Fusarium oxysporum f. sp. lycopersici 4287,4287,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. lycopersici 4287 v2,Fusarium oxysporum f. sp. lycopersici 4287,4287,Ascomycota,JGI,,,
Fusarium oxysporum f. sp. lycopersici MN25 (GCA_000259975),Fusarium oxysporum f. sp. lycopersici MN25,MN25,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. melonis 26406,Fusarium oxysporum f. sp. melonis 26406,26406,Ascomycota,FungiDB,,,
Fusarium oxysporum f. sp. melonis 26406 str. 26406 (melonis) (GCA_000260495),Fusarium oxysporum f. sp. melonis 26406 str. 26406 (melonis),26406,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. pisi HDV247 (GCA_000260075),Fusarium oxysporum f. sp. pisi HDV247,HDV247,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. radicis-cucumerinum (GCA_001702695),Fusarium oxysporum f. sp. radicis-cucumerinum,Forc016,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. radicis-lycopersici 26381 str. 26381 (CL57) (GCA_000260155),Fusarium oxysporum f. sp. radicis-lycopersici 26381 str. 26381 (CL57),26381,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. raphani 54005 (GCA_000260235),Fusarium oxysporum f. sp. raphani 54005,54005,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum f. sp. vasinfectum 25433 str. 25433 (Cotton) (GCA_000260175),Fusarium oxysporum f. sp. vasinfectum 25433 str. 25433 (Cotton),25433,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum Fo47,Fusarium oxysporum Fo47,Fo47,Ascomycota,FungiDB,,,
Fusarium oxysporum Fo47 (GCA_000271705),Fusarium oxysporum Fo47,Fo47,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum FOSC 3-a,Fusarium oxysporum FOSC 3-a,FOSC 3-a,Ascomycota,FungiDB,,,
Fusarium oxysporum FOSC 3-a (GCA_000271745),Fusarium oxysporum FOSC 3-a,FOSC 3-a,Ascomycota,Ensembl-Genbank,,,
Fusarium oxysporum MPI-CAGE-CH-0212 v1.0,Fusarium oxysporum MPI-CAGE-CH-0212,MPI-CAGE-CH-0212,Ascomycota,JGI,,,
Fusarium oxysporum MPI-SDFR-AT-0094 v1.0,Fusarium oxysporum MPI-SDFR-AT-0094,MPI-SDFR-AT-0094,Ascomycota,JGI,,,
Fusarium poae (GCA_001675295),Fusarium poae,2516,Ascomycota,Ensembl-Genbank,,,
Fusarium proliferatum (GCA_900029915),Fusarium proliferatum,NRRL 62905,Ascomycota,Ensembl-Genbank,,,
Fusarium proliferatum ET1,Fusarium proliferatum ET1,ET1,Ascomycota,FungiDB,,,
Fusarium proliferatum ET1 (GCA_900067095),Fusarium proliferatum ET1,ET1,Ascomycota,Ensembl-Genbank,,,
Fusarium proliferatum strain NRRL 62905,Fusarium proliferatum strain NRRL 62905,NRRL 62905,Ascomycota,FungiDB,,,
Fusarium pseudograminearum,Fusarium pseudograminearum,Fusarium pseudograminearum,Ascomycota,Ensembl-Genbank,,,
Fusarium pseudograminearum CS3096,Fusarium pseudograminearum CS3096,CS3096,Ascomycota,JGI,,,
Fusarium redolens MPI-CAGE-AT-0023 v1.0,Fusarium redolens MPI-CAGE-AT-0023,MPI-CAGE-AT-0023,Ascomycota,JGI,,,
Fusarium solani,Fusarium solani,Fusarium solani,Ascomycota,Ensembl-Genbank,,,
Fusarium solani MPI-SDFR-AT-0091 v1.0,Fusarium solani MPI-SDFR-AT-0091,MPI-SDFR-AT-0091,Ascomycota,JGI,,,
Fusarium tricinctum MPI-SDFR-AT-0044 v1.0,Fusarium tricinctum MPI-SDFR-AT-0044,MPI-SDFR-AT-0044,Ascomycota,JGI,,,
Fusarium tricinctum MPI-SDFR-AT-0068 v1.0,Fusarium tricinctum MPI-SDFR-AT-0068,MPI-SDFR-AT-0068,Ascomycota,JGI,,,
Fusarium venenatum (GCA_900007375),Fusarium venenatum,Fusarium venenatum,Ascomycota,Ensembl-Genbank,,,
Fusarium venenatum MPI-CAGE-CH-0201 v1.0,Fusarium venenatum MPI-CAGE-CH-0201,MPI-CAGE-CH-0201,Ascomycota,JGI,,,
Fusarium verticillioides,Fusarium verticillioides,Fusarium verticillioides,Ascomycota,Ensembl-Genbank,,,
Fusarium verticillioides 7600,Fusarium verticillioides 7600,7600,Ascomycota,FungiDB,,,
Fusarium verticillioides 7600 v2,Fusarium verticillioides 7600,7600,Ascomycota,JGI,,,
Gaertneriomyces semiglobifer Barr 43 v1.0,Gaertneriomyces semiglobifer Barr 43,Barr 43,,JGI,,,
Gaeumannomyces graminis var. tritici R3-111a-1,Gaeumannomyces graminis var. tritici R3-111a-1,R3-111a-1,,JGI,,,
Gaeumannomyces tritici R3-111a-1,Gaeumannomyces tritici R3-111a-1,R3-111a-1,,Ensembl-Genbank,,,
Galerina marginata v1.0,Galerina marginata,CBS 339.88,,JGI,,,
Galerina marginata CBS 339.88 (GCA_000697645),Galerina marginata CBS 339.88,CBS 339.88,,Ensembl-Genbank,,,
Galzinia incrustans CBS 104901 v1.0,Galzinia incrustans CBS 104901,CBS 104901,,JGI,,,
Ganoderma sinense ZZ0214-1 (GCA_002760635),Ganoderma sinense ZZ0214-1,ZZ0214-1,,Ensembl-Genbank,,,
Ganoderma sp. 10597 SS1 v1.0,Ganoderma sp. 10597 SS1,10597 SS1,,JGI,,,
Gautieria morchelliformis GMNE.BST v1.0,Gautieria morchelliformis GMNE.BST,GMNE.BST,,JGI,,,
Geastrum triplex GST.BST v1.0,Geastrum triplex GST.BST,GST.BST,,JGI,,,
Gelasinospora tetrasperma v1.0,Gelasinospora tetrasperma,CBS 560.94 ,,JGI,,,
Ceriporiopsis (Gelatoporia) subvermispora B,Gelatoporia subvermispora,B,Basidiomycota,JGI,,,
Gelatoporia subvermispora B (GCA_000320605),Gelatoporia subvermispora B,B,,Ensembl-Genbank,,,
Geranomyces variabilis JEL559 v1.0,Geranomyces variabilis JEL559,JEL559,,JGI,,,
Gigaspora rosea v1.0,Gigaspora rosea,,,JGI,,,
Gilbertella persicaria var. persicaria CBS 190.32-T v1.0,Gilbertella persicaria var. persicaria CBS 190.32-T,CBS 190.32-T,,JGI,,,
Glarea lozoyensis ATCC 20868,Glarea lozoyensis ATCC 20868,ATCC 20868,,JGI,,,
Glarea lozoyensis ATCC 20868 str. 1224 (GCA_000409485),Glarea lozoyensis ATCC 20868 str. 1224,ATCC 20868 1224,,Ensembl-Genbank,,,
Globomyces pollinis-pini Arg68 v1.0,Globomyces pollinis-pini Arg68,Arg68,,JGI,,,
Gloeopeniophorella convolvens OM19405 v1.0,Gloeopeniophorella convolvens OM19405,OM19405,,JGI,,,
Gloeophyllum trabeum v1.0,Gloeophyllum trabeum,ATCC 11539,,JGI,,,
Gloeophyllum trabeum ATCC 11539 (GCA_000344685),Gloeophyllum trabeum ATCC 11539,ATCC 11539,,Ensembl-Genbank,,,
Gloniopsis sp. FL0384 v1.0,Gloniopsis sp. FL0384,FL0384,,JGI,,,
Glonium stellatum CBS 207.34 v1.0,Glonium stellatum CBS 207.34,CBS 207.34,,JGI,,,
Gonapodya prolifera v1.0,Gonapodya prolifera,JEL478,Chytridiomycota,JGI,,,
Gonapodya prolifera JEL478 (GCA_001574975),Gonapodya prolifera JEL478,JEL478,,Ensembl-Genbank,,,
Gongronella butleri v1.0,Gongronella butleri,CBS 227.36+,Mucoromycota,JGI,,,
Gorgonomyces haynaldii MP57 v1.0,Gorgonomyces haynaldii MP57,MP57,,JGI,,,
Grifola frondosa str. 9006-11 (GCA_001683735),Grifola frondosa str. 9006-11,9006-11,,Ensembl-Genbank,,,
Grosmannia clavigera kw1407,Grosmannia clavigera kw1407,kw1407,,JGI,,,
Grosmannia clavigera kw1407 (GCA_000143105),Grosmannia clavigera kw1407,kw1407,,Ensembl-Genbank,,,
Guyanagaster necrorhiza MCA 3950 v1.0,Guyanagaster necrorhiza MCA 3950,MCA 3950,,JGI,,,
Gymnascella aurantiaca v1.0,Gymnascella aurantiaca,NRRL 5967,,JGI,,,
Gymnascella citrina v1.1,Gymnascella citrina,NRRL 5970,,JGI,,,
Gymnopilus chrysopellus PR-1187 v1.0,Gymnopilus chrysopellus PR-1187,PR-1187,,JGI,,,
Gymnopus luxurians v1.0,Gymnopus luxurians,FD-317 M1,,JGI,,,
Gymnopus luxurians FD-317 M1 (GCA_000827265),Gymnopus luxurians FD-317 M1,FD-317 M1,,Ensembl-Genbank,,,
Gyromitra esculenta CBS101906 v1.0,Gyromitra esculenta CBS101906,CBS 101906,,JGI,,,
Halteromyces radiatus CBS 162.75 v1.0,Halteromyces radiatus CBS 162.75,CBS 162.75,,JGI,,,
Hanseniaspora guilliermondii (GCA_900119595),Hanseniaspora guilliermondii,UTAD222,Ascomycota,Ensembl-Genbank,,,
Hanseniaspora opuntiae (GCA_001749795),Hanseniaspora opuntiae,AWRI3578,,Ensembl-Genbank,,,
Hanseniaspora osmophila (GCA_001747045),Hanseniaspora osmophila,AWRI3579,,Ensembl-Genbank,,,
Hanseniaspora uvarum (GCA_001747055),Hanseniaspora uvarum,AWRI3580,,Ensembl-Genbank,,,
Hanseniaspora uvarum DSM 2768 (GCA_000968475),Hanseniaspora uvarum DSM 2768,DSM 2768,,Ensembl-Genbank,,,
Hanseniaspora valbyensis NRRL Y-1626 (GCA_001664025),Hanseniaspora valbyensis NRRL Y-1626,NRRL Y-1626,,Ensembl-Genbank,,,
Hanseniaspora valbyensis NRRL Y-1626 v1.1,Hanseniaspora valbyensis NRRL Y-1626,NRRL Y-1626,,JGI,,,
Hebeloma cylindrosporum h7 (GCA_000827355),Hebeloma cylindrosporum h7,h7,,Ensembl-Genbank,,,
Hebeloma cylindrosporum h7 v2.0,Hebeloma cylindrosporum h7,h7,,JGI,,,
Helicocarpus griseus UAMH5409 (GCA_002573585),Helicocarpus griseus UAMH5409,UAMH5409,,Ensembl-Genbank,,,
Helicostylum pulchrum RSA 2064 v1.0,Helicostylum pulchrum RSA 2064,RSA 2064,,JGI,,,
Heliocybe sulcata OMC1185 v1.0,Heliocybe sulcata OMC1185,OMC1185,,JGI,,,
Hepatospora eriocheir str. canceri (GCA_002087875),Hepatospora eriocheir str. canceri,canceri,,Ensembl-Genbank,,,
Hepatospora eriocheir str. GB1 (GCA_002087885),Hepatospora eriocheir str. GB1,GB1,,Ensembl-Genbank,,,
Hericium coralloides FP-101451 v1.0,Hericium coralloides FP-101451,FP-101451,,JGI,,,
Herpotrichia sp. AK1299 v1.0,Herpotrichia sp. AK1299,AK1299,,JGI,,,
Hesseltinella vesiculosa NRRL3301 v2.0,Hesseltinella vesiculosa NRRL3301,NRRL 3301,,JGI,,,
Hesseltinella vesiculosa str. NRRL 3301,Hesseltinella vesiculosa str. NRRL 3301,NRRL 3301,,Ensembl-Genbank,,,
Heterobasidion annosum v2.0,Heterobasidion annosum,TC 32-1,Basidiomycota,JGI,,,
Heterobasidion irregulare TC 32-1 (GCA_000320585),Heterobasidion irregulare TC 32-1,TC 32-1,,Ensembl-Genbank,,,
Heterodoassansia hygrophilae CBS 346.65 v1.0,Heterodoassansia hygrophilae CBS 346.65,CBS 346.65,,JGI,,,
Heterogastridium pycnidioideum ATCC MYA-4631 v1.0,Heterogastridium pycnidioideum ATCC MYA-4631,ATCC MYA-4631,,JGI,,,
Hirsutella minnesotensis 3608 (GCA_000956045),Hirsutella minnesotensis 3608,3608,,Ensembl-Genbank,,,
Histoplasma capsulatum G186AR,Histoplasma capsulatum G186AR,G186AR,Ascomycota,FungiDB,,,
Histoplasma capsulatum G186AR (GCA_000150115),Histoplasma capsulatum G186AR,G186AR,,Ensembl-Genbank,,,
Histoplasma capsulatum G217B,Histoplasma capsulatum G217B,G217B,Ascomycota,FungiDB,,,
Histoplasma capsulatum H143,Histoplasma capsulatum H143,H143,Ascomycota,FungiDB,,,
Histoplasma capsulatum H143 (GCA_000151035),Histoplasma capsulatum H143,H143,,Ensembl-Genbank,,,
Histoplasma capsulatum H88,Histoplasma capsulatum H88,H88,Ascomycota,FungiDB,,,
Histoplasma capsulatum H88 (GCA_000151005),Histoplasma capsulatum H88,H88,,Ensembl-Genbank,,,
Histoplasma capsulatum NAm1,Histoplasma capsulatum NAm1,NAm1,Ascomycota,FungiDB,,,
Histoplasma capsulatum NAm1,Histoplasma capsulatum NAm1,NAm1,,JGI,,,
Histoplasma capsulatum NAm1 (GCA_000149585),Histoplasma capsulatum NAm1,NAm1,,Ensembl-Genbank,,,
Hortaea acidophila CBS 113389 v1.0,Hortaea acidophila CBS 113389,CBS 113389,,JGI,,,
Hortaea werneckii EXF-2000 (GCA_002127715),Hortaea werneckii EXF-2000,EXF-2000,,Ensembl-Genbank,,,
Hortaea werneckii EXF-2000 M0 v1.0,Hortaea werneckii EXF-2000 M0,EXF-2000 M0,,JGI,,,
Hyalopycnis blepharistoma ATCC 48560 v1.0,Hyalopycnis blepharistoma ATCC 48560,ATCC 48560,,JGI,,,
Hyaloraphidium curvatum SAG235-1 v1.0,Hyaloraphidium curvatum SAG235-1,SAG235-1,,JGI,,,
Hydnomerulius pinastri v2.0,Hydnomerulius pinastri MD-312,MD-312,,JGI,,,
Hydnomerulius pinastri MD-312 (GCA_000827185),Hydnomerulius pinastri MD-312,MD-312,,Ensembl-Genbank,,,
Hydnopolyporus fimbriatus CBS384.51 v1.0,Hydnopolyporus fimbriatus CBS384.51,CBS 384.51,,JGI,,,
Hydnum rufescens UP504 v2.0,Hydnum rufescens UP504,UP504,,JGI,,,
Hygrophoropsis aurantiaca ATCC 28755 v1.0,Hygrophoropsis aurantiaca ATCC 28755,ATCC 28755,,JGI,,,
Hymenoscyphus varicosporoides PMI_453 v1.0,Hymenoscyphus varicosporoides PMI_453,PMI_453,,JGI,,,
Hypholoma sublateritium v1.0,Hypholoma sublateritium,FD-334 SS-4,,JGI,,,
Hypholoma sublateritium FD-334 SS-4 (GCA_000827495),Hypholoma sublateritium FD-334 SS-4,FD-334 SS-4,,Ensembl-Genbank,,,
Hyphopichia burtonii NRRL Y-1933 (GCA_001661395),Hyphopichia burtonii NRRL Y-1933,NRRL Y-1933,,Ensembl-Genbank,,,
Hyphopichia burtonii NRRL Y-1933 v1.0,Hyphopichia burtonii NRRL Y-1933,NRRL Y-1933,,JGI,,,
Hypoxylon sp. CI-4A (GCA_002120315),Hypoxylon sp. CI-4A,CI-4A,,Ensembl-Genbank,,,
Hypoxylon sp. CI-4A v1.0,Hypoxylon sp. CI-4A,CI-4A,,JGI,,,
Hypoxylon sp. CO27-5 (GCA_002120305),Hypoxylon sp. CO27-5,CO27-5,,Ensembl-Genbank,,,
Hypoxylon sp. CO27-5 v1.0,Hypoxylon sp. CO27-5,CO27-5,,JGI,,,
Hypoxylon sp. EC38 (GCA_002120335),Hypoxylon sp. EC38,EC38,,Ensembl-Genbank,,,
Hypoxylon sp. EC38 v3.0,Hypoxylon sp. EC38,EC38,,JGI,,,
Hypsizygus marmoreus str. 51987-8 (GCA_001605315),Hypsizygus marmoreus str. 51987-8,51987-8,,Ensembl-Genbank,,,
Hysterangium stoloniferum HS.BST v1.0,Hysterangium stoloniferum HS.BST,HS.BST,,JGI,,,
Hysterium pulicare,Hysterium pulicare,CBS 123377,,JGI,,,
Ilyonectria europaea MPI-CAGE-AT-0026 v1.0,Ilyonectria europaea MPI-CAGE-AT-0026,MPI-CAGE-AT-0026,,JGI,,,
Ilyonectria robusta PMI_751 v1.0,Ilyonectria robusta PMI_751,PMI_751,,JGI,,,
Jaapia argillacea v1.0,Jaapia argillacea,MUCL 33604,,JGI,,,
Jaapia argillacea MUCL 33604 (GCA_000697665),Jaapia argillacea MUCL 33604,MUCL 33604,,Ensembl-Genbank,,,
Jahnula aquatica CBS 123560 v1.0,Jahnula aquatica CBS 123560,CBS 123560,,JGI,,,
Jaminaea rosea str. MCA 5214 (GCA_003144245),Jaminaea rosea str. MCA 5214,MCA 5214,,Ensembl-Genbank,,,
